I'm 19.	J'ai 19 ans.
She is a real beauty.	C'est une vraie beauté.
He's innocent.	Il est ingénu.
You're not fit.	Tu n'es pas en forme.
We're going back to Boston.	Nous retournons à Boston.
You're doing it right.	Vous le faites correctement.
You're very perceptive.	Vous êtes très perspicace.
I'm going to do something else.	Je vais faire autre chose.
You're not alone anymore.	Vous n'êtes plus seules.
You're very clever.	Vous êtes fort ingénieux.
I am losing my patience with you.	Je perds patience avec toi.
I am not your enemy.	Je ne suis pas votre ennemi.
He is lazy.	Il est fainéant.
You're very astute.	Vous êtes fort astucieuse.
She's afraid of the dark.	Elle a peur de la nuit.
I'm not a doctor, but a teacher.	Je ne suis pas médecin, mais enseignant.
I am ready to help you.	Je suis prêt à t'aider.
I'm doing the best I can.	Je fais du mieux que je peux.
You're rude.	Tu es grossière.
We're not from around here.	Nous ne sommes pas du coin.
You're the one who planted that tree.	C'est toi qui as planté cet arbre.
I am lazy.	Je suis fainéante.
You're home early, aren't you?	Tu es tôt à la maison, non ?
We're quite drunk.	On est pas mal bourrés.
You're part of this.	Vous en faites partie.
We're leaving tonight.	Nous partons ce soir.
You're free to leave now.	Tu est libre de partir maintenant.
You're no different.	Tu n'es pas différent.
We're smashed.	Nous sommes bourrées.
I'm not that desperate yet.	Je ne suis pas encore si désespéré.
You're off the hook this time.	Tu es tiré d'affaire cette fois.
He's a bartender.	Il est tenancier de bar.
I am afraid he will make a mistake.	J'ai peur qu'il commette une erreur.
I'm glad to be here.	Je suis contente d'être là.
I'm really proud of you.	Je suis réellement fier de toi.
I'm taking a couple of days off.	Je pars en vacances pour quelques jours.
I'm not scared of you anymore.	Je ne vous crains plus.
She is proud of her son.	Elle est fière de son fils.
I'm very upset.	Je suis fort contrarié.
You're probably thirsty.	Tu as probablement soif.
You're very nice.	Tu es très gentille.
We're going the wrong way.	Nous allons dans la mauvaise direction.
I'm not a teacher.	Je ne suis pas instituteur.
You're in serious danger.	Vous êtes en grave danger.
I'm not old enough.	Je ne suis pas assez vieille.
I'm not your daughter.	Je ne suis pas votre fille.
I'm working on it.	J'y travaille.
You're not allowed in here.	Tu n'es pas autorisé à pénétrer ici.
We're going to do everything we can.	Nous allons faire ce que nous pouvons.
I'm delighted to be here.	Je suis enchanté d'être ici.
You're very nice.	Vous êtes très chouette.
He is a bank clerk.	Il est employé de banque.
He's not married.	Il n'est pas marié.
We're all working together.	Nous travaillons tous ensemble.
You are responsible for this accident.	Tu es responsable de cet accident.
She is very afraid of the dark.	Elle a très peur du noir.
You're bright.	Vous êtes brillant.
He is a learned man.	C'est un homme cultivé.
She's putting the children to bed.	Elle est en train de coucher les enfants.
You're resourceful.	Tu es pleine de ressources.
I am so sick.	C'est moi qui suis si malade.
I'm surprised to see you.	Je suis surprise de te voir.
You're so sweet.	Tu es si gentil !
They're clean.	Elles sont propres.
I'm delighted to meet you.	Je suis enchanté de te rencontrer.
She's my sister.	C'est ma sœur.
I'm not sleeping well.	Je ne dors pas bien.
You're not really a millionaire, are you?	Tu n'es pas vraiment millionnaire, si ?
I'm glad you liked it.	Je suis heureuse que vous l'ayez apprécié.
I'm not alone.	Je ne suis pas seul.
He's a real man.	C'est un vrai mec.
You're still green.	Tu es encore un bleu.
We're here to help them.	Nous sommes ici pour les aider.
I'm busy, too.	Je suis également occupée.
You're kind of cute.	Vous êtes mignonnes, dans votre genre.
You're not that old.	Vous n'êtes pas si vieille.
You're not good at this.	Vous n'y êtes pas bonne.
I'm also learning French.	J'apprends aussi le français.
You're a good liar.	Tu es bon menteur.
You're a wonderful guy.	Tu es une personne merveilleuse.
She is stubborn.	Elle est obstinée.
They're all watching us.	Elles sont toutes en train de nous regarder.
I'm not good at pretending.	Je ne suis pas bon pour faire semblant.
You're very late.	Vous êtes en retard.
I am not certain about that.	Je n'en suis pas sûr.
She is certain to come on time.	Elle est certaine de venir à temps.
I'm really stressed out.	Je suis vraiment stressé.
I'm bad at swimming.	Je ne sais pas bien nager.
I'm as curious as you are.	Je suis aussi curieux que toi.
I'm not strong.	Je ne suis pas fort.
He is afraid of his grandfather.	Il a peur de son grand-père.
You're crafty.	Vous êtes astucieux.
You're incredibly talented.	Vous êtes incroyablement talentueux.
I am expecting some serious work from you.	J'attends de toi un travail sérieux.
She is old enough to travel by herself.	Elle est assez grande pour voyager toute seule.
He is leaving Chicago tomorrow.	Il va quitter Chicago demain.
They're mine.	Elles sont à moi.
He's too drunk.	Il est trop ivre.
You're very direct.	Vous êtes très directe.
He is getting better.	Il va mieux.
You're tough.	Tu es dure.
They're the cream of the crop.	Elles forment le dessus du panier.
They're stalling.	Elles sont en train de temporiser.
I'm sorry if I disturbed you.	Je suis désolé si je t'ai dérangé.
He is a clever boy.	C'est un garçon intelligent.
She is an obstinate girl.	C'est une fille obstinée.
I'm not worried.	Je ne me fais pas de souci.
We're all here.	Nous sommes tous là.
I'm strong enough.	Je suis assez forte.
We are very similar.	Nous sommes très semblables.
You're very efficient.	Vous êtes très efficace.
You're very religious, aren't you?	Tu es très religieuse, n'est-ce pas ?
You're a funny man.	T'es un mec marrant.
You're psychic.	Tu es voyant.
I'm not armed.	Je ne suis pas armée.
You're not even paying attention.	Tu ne prêtes même pas attention.
You're single.	Vous êtes célibataire.
We're not together anymore.	Nous ne sommes plus ensemble.
You're back.	Vous êtes de retour.
They're in the shower.	Elles sont sous la douche.
I'm very sad to hear that.	Je suis très triste d'entendre ça.
I'm not eating this.	Je ne mange pas ça.
You're very upset.	Vous êtes fort contrariés.
They're old.	Elles sont vieilles.
She studies English.	Elle étudie l'anglais.
He is an office worker.	C'est un employé de bureau.
You're incredibly talented.	Tu es incroyablement talentueux.
You're fashionable.	Vous êtes branché.
He is anything but honest.	Il est tout sauf honnête.
He is the tallest boy.	C'est le garçon le plus grand.
I'm fine.	Ça va.
You're not upset, are you?	Tu n'es pas contrarié, si ?
He is very young.	Il est très jeune.
You are in part responsible for it.	Vous en êtes en partie responsable.
You are a bad person.	Vous êtes un être mauvais.
You're all mad.	Vous êtes tous fous.
I'm not really that interested.	Je n'y suis pas vraiment si intéressé.
I'm leaving on Sunday.	Je pars dimanche.
He's a very nice boy.	C'est un très chouette garçon.
You're free to go.	T'es libre d'y aller.
I'm bored. Let's do something.	Je m'ennuie. Faisons quelque chose !
We're losing.	Nous sommes en train de perdre.
They're too fat.	Elles sont trop grosses.
He is rather optimistic.	Il est plutôt optimiste.
You're not married, are you?	Vous n'êtes pas mariées, si ?
You're very clever.	Vous êtes très habile.
I'm sorry, I don't speak French.	Je suis désolé, je ne parle pas français.
You're a bad liar.	Tu mens mal.
I'm free now.	Je suis libre maintenant.
I'm not happy with this.	Je n'en suis pas content.
I'm in the mood to talk now.	Je suis maintenant disposée à discuter.
You are expecting too much of her.	Tu attends trop d'elle.
You're the teacher.	C'est vous l'enseignant.
He's not sick.	Il n'est pas malade.
I'm not going to sell it.	Je ne la vendrai pas.
I'm learning how to drive.	J'apprends à conduire.
I'm a little out of practice.	Je manque un peu de pratique.
I am quite all right now.	Je vais tout à fait bien maintenant.
You are lying.	Vous êtes en train de mentir.
We're too busy.	Nous sommes trop occupés.
We are doing business with many countries.	Nous sommes en affaires avec de nombreux pays.
I'm going to need some more time.	Je vais avoir besoin de plus de temps.
He is the father of three children.	Il est père de trois enfants.
I'm sure of it.	Je suis certain de ça.
I'm always careful.	Je suis toujours prudent.
We're just nervous.	Nous sommes simplement nerveux.
We're just going to talk.	Nous allons simplement discuter.
She said she was happy.	Elle dit qu'elle était heureuse.
They're almost here.	Ils en sont presque là.
I'm a little skeptical.	Je suis un peu sceptique.
I'm very sorry.	Je suis vraiment désolé.
I'm not an only child.	Je ne suis pas un enfant unique.
I'm taking my book with me.	Je prends mon livre avec moi.
I'm trying something new.	J'essaie quelque chose de nouveau.
I'm married now.	Je suis marié maintenant.
I'm in absolutely total agreement.	Je suis totalement d'accord.
I'm not doing this anymore.	Je ne le fais plus.
She's lost her car keys.	Elle a perdu les clés de sa voiture.
I'm retired, too.	Je suis également pensionné.
You're a prude.	Vous êtes une puritaine.
I'm still here.	Je suis encore ici.
We aren't always right.	Nous n'avons pas toujours raison.
You are blinded by love.	Vous êtes aveuglé par l'amour.
You're depressed, aren't you?	Vous êtes déprimé, n'est-ce pas ?
You're the leader.	Vous êtes la chef.
I'm very busy this week.	Je suis très occupé cette semaine.
You're the only one I think about.	Je ne pense qu'à toi.
I'm suddenly tired.	Je suis tout à coup fatiguée.
We're all bored.	Nous nous ennuyons tous.
We're all bored.	Nous nous ennuyons toutes.
You are not a child any more.	Tu n'es plus une enfant.
They're not coming.	Elles ne viennent pas.
You're resourceful.	Vous êtes pleine de ressources.
I'm completely wrecked.	Je suis complètement pété.
I'm sorry I'm so stupid.	Désolé d'être si stupide.
He is very brave.	Il est très courageux.
We're almost out of time.	Notre temps est presque écoulé.
I'm pleased with his performance.	Je suis satisfaite de sa performance.
I'm not going to help you.	Je ne vais pas vous aider.
You're not alone anymore.	Vous n'êtes plus seule.
I'm being paid to do this.	Je suis payé pour faire ça.
I'm a bit hungry.	J'ai un peu faim.
I'm sorry, my father is out.	Je suis désolée, mon père est éliminé.
You're smarter than me.	Vous êtes plus intelligents que moi.
They're looking for a scapegoat.	Elles cherchent un bouc émissaire.
He's reading a novel now.	Il est en train de lire un roman.
I'm going to protect you, Tom.	Je vais vous protéger, Tom.
You're in big trouble.	Vous êtes dans la merde.
You're very emotional.	Tu es très émotif.
He's stronger than you.	Il est plus fort que vous.
I'm sorry, but you need to leave.	Je suis désolé, mais tu dois partir.
They're all safe.	Ils sont tous en sécurité.
He's an intelligent young man.	C'est un jeune homme intelligent.
He is said to be rich.	On dit qu'il est riche.
You're powerful.	Vous êtes puissant.
I am going to see the dentist tomorrow.	Je vais chez le dentiste demain.
She seemed to have been ill.	Elle semblait avoir été malade.
I'm not strong.	Je ne suis pas forte.
He is the greatest living artist.	C'est le plus grand artiste vivant.
She's got a point.	Elle n'a pas tort.
I'm lucky to have a job.	Je suis chanceux d'avoir un travail.
I'm too sleepy to drive.	J'ai trop sommeil pour conduire.
I'm glad you're here.	Je suis contente que vous soyez là.
I'm sure that's wrong.	Je suis sûr que c'est faux.
You're alone, aren't you?	Tu es seule, n'est-ce pas ?
I'm still waiting for your answer.	J'attends toujours votre réponse.
You're so sweet.	Vous êtes tellement gentille !
He is lazy.	Il est paresseux.
I'm glad you're here.	Je suis contente que tu sois là.
He is far from happy.	Il est loin d'être heureux.
They're cousins.	Elles sont cousines.
He is a pretty great guy.	C'est un type assez connu.
I am all ears.	Je suis tout ouïe.
I'm getting old.	Je me fais vieux.
You're not finished.	Vous n'en avez pas terminé.
I'm glad you brought that up.	Je suis ravi que vous ayez soulevé cela.
I'm sorry.	Désolé !
You're double-parked.	Tu es garée en double file.
You're powerful.	Tu es puissant.
You're too loud.	Vous êtes trop bruyante.
I'm pretty happy.	Je suis assez heureux.
You're very good.	Tu es fort bonne.
He is anxious to go to America.	Il est nerveux d'aller en Amérique.
He's so young.	Il est tellement jeune.
He is too sensitive.	Il est trop sensible.
You're very busy.	Tu es très occupée.
You're very curious.	Vous êtes très curieuse.
We're not home.	Nous ne sommes pas à la maison.
I'm still thirsty.	J'ai encore soif.
I'm willing to apologize.	Je veux présenter mes excuses.
You're very busy.	Vous êtes très occupée.
I'm a married woman now.	Je suis une femme mariée désormais.
I'm here to help you.	Je suis là pour t'aider.
I'm fine with it.	C'est bon pour moi.
You are always watching TV.	Vous regardez tout le temps la télévision.
He is known as a great painter.	Il est connu comme un grand peintre.
He is a fast runner.	C'est un coureur rapide.
He is likely to win the game.	Il a des chances de gagner le jeu.
You're very timid.	Vous êtes fort timides.
You're the one who trained me.	Tu es celle qui m'a formée.
You're so talented.	Tu as tellement de talent !
I'm a patient.	Je suis un patient.
You are hilarious.	Vous me faites mourir de rire.
You're the teacher.	C'est vous l'enseignante.
You aren't Tom.	Vous n'êtes pas Tom.
I'm well aware of that.	Je suis bien conscient de ça.
You're very stylish.	Vous êtes très élégante.
I'm afraid of dying.	J'ai peur de mourir.
You're alone, aren't you?	Vous êtes seuls, n'est-ce pas ?
I'm not married to Tom anymore.	Je ne suis plus mariée avec Tom.
You're very resourceful.	Tu es pleine de ressources.
He's an Italian teacher.	Il est professeur d'italien.
You are a bad person.	Tu es un être mauvais.
We're all in the same boat.	Nous sommes tous sur le même bateau.
She is two years older than you.	Elle a deux ans de plus que vous.
He is a promising young businessman.	C'est un jeune homme d'affaires prometteur.
We're all safe.	Nous sommes tous en sécurité.
I am a stranger here.	Je suis un étranger ici.
You're very intelligent.	Vous êtes très intelligente.
We're not friends anymore.	Nous ne sommes plus amies.
You're carrying this too far.	Vous faites aller ça trop loin.
He is already here.	Il est déjà là.
I'm sorry I hurt Tom.	Je suis désolé d'avoir blessé Tom.
I'm trying to clean the house.	J'essaye de nettoyer la maison.
You're very upset.	Tu es fort contrariée.
I'm certain of that.	J'en suis certain.
I'm fascinated by cats.	Je suis fasciné par les chats.
You're very curious.	Vous êtes fort curieuse.
You're always saying that.	Tu dis toujours cela.
You're very rude.	Vous êtes fort grossières.
She's by far the tallest girl.	Elle est de loin la plus grande fille.
You're the tallest person here.	Vous êtes la plus grande personne ici.
She's busy with her work.	Elle est occupée par son travail.
He's kind of cute, isn't he?	Il est mignon, dans son genre, non ?
You're just tired.	Tu es juste fatigué.
She's used to getting up early.	Elle est habituée à se lever tôt.
I'm not a good liar.	Je ne suis pas un bon menteur.
You're very forward.	Tu es très effronté.
I'm not blind.	Je ne suis pas aveugle.
I am accustomed to working hard.	Je suis habituée à travailler dur.
You're out of control.	Vous êtes hors de contrôle.
You're really incredible.	Vous êtes vraiment incroyables.
We're all crazy.	Nous sommes tous fous.
She's not at home now.	Elle n'est pas chez elle, actuellement.
He is a bad person.	C'est une mauvaise personne.
We're all wasting time.	Nous perdons tous du temps.
I am sorry.	Je suis désolé.
You are taller than she is.	Vous êtes plus grande qu'elle.
You're talented.	Tu es talentueuse.
We're not going to do it.	Nous n'allons pas vous répondre.
I'm done listening to you.	J'en ai fini de vous écouter.
I am a masochist.	Je suis masochiste.
I am out of work.	Je suis au chômage.
She is really in good health.	Elle se porte fort bien.
I'm not your maid.	Je ne suis pas votre servante.
You are so stupid.	Vous êtes tellement idiotes !
I'm feeling kind of tired.	Je me sens un peu fatigué.
You are really very productive today.	Vous êtes vraiment très productive aujourd'hui.
They're anxious for peace.	Elles s'inquiètent pour la paix.
I am studying now.	Je suis en train d'étudier.
I'm very much aware of the danger.	Je suis très conscient du danger.
I'm 24 years old.	J'ai 24 ans.
They're not home yet.	Elles ne sont pas encore à la maison.
You're the owners.	C'est vous les propriétaires.
You're very rude.	Vous êtes fort grossiers.
You're a very lucky man.	Tu as vraiment de la chance.
I'm done with you.	Moi j'en ai fini avec toi.
You're a woman now.	Vous êtes désormais une femme.
I'm not too worried about Tom.	Je ne m'inquiète pas trop pour Tom.
You're very observant.	Tu es très observateur.
You're unambitious.	Vous êtes dépourvu d'ambition.
You're reliable.	Tu es fiable.
He's sleeping like a baby.	Il dort comme un bébé.
She isn't fit for the job.	Elle n'est pas apte pour le poste.
I'm free.	Je suis libre.
I am engaged to her.	Je suis fiancé avec elle.
You're annoying.	Tu es chiant.
You're a little late.	Tu es un peu en retard.
He's too old for you.	Il est trop vieux pour vous.
You are very brave.	Vous êtes très courageuses.
You're not normal.	Tu n'es pas normal.
You are very brave.	Vous êtes très courageuse.
He is the son of a wealthy family.	C'est le fils d'une riche famille.
You're a filthy liar!	Vous êtes une sale menteuse !
I'm so confused.	Je suis tellement perplexe.
You're old.	Vous êtes vieux.
I'm not old enough.	Je ne suis pas assez vieux.
I'm not completely naive.	Je ne suis pas complètement naïve.
I'm not sure anymore.	Je n'en suis plus sûr.
You're very flexible.	Vous êtes très flexible.
He isn't at home.	Il n'est pas à la maison.
You're impressed, aren't you?	Vous êtes impressionnée, n'est-ce pas ?
We're ready now.	Nous sommes prêts, désormais.
You're not as smart as me.	Tu n'es pas aussi maligne que moi.
We're tired of waiting.	Nous en avons assez d'attendre.
I'm kind of happy.	Je suis assez heureux.
I'm not as smart as you.	Je ne suis pas aussi maligne que vous.
You're pathetic.	Vous êtes pathétique.
We're almost ready.	Nous sommes presque prêtes.
I am lazy.	Je suis paresseux.
You are taller than me.	Vous êtes plus grands que moi.
They're all lying.	Elles mentent toutes.
We're going now.	Nous y allons maintenant.
She is always dressed in black.	Elle est toujours habillée en noir.
He's scared to talk to me.	Il a peur de me parler.
I am bored to death.	Je m'ennuie à en mourir.
I'm just as confused as you are.	Je suis aussi perplexe que tu l'es.
I'm looking forward to hearing from you.	J'attends de vos nouvelles.
She is about my age.	Elle a environ mon âge.
He's ready to go.	Il est prêt à y aller.
She is terrible at cooking.	Elle est très mauvaise cuisinière.
I'm your best friend.	Je suis votre meilleur ami.
I'm not kidding.	Je ne blague pas.
You're skinny.	Tu es maigrichon.
He is busy doing something.	Il est occupé à faire quelque chose.
He is not in.	Il n'est pas chez lui.
You're unambitious.	Vous êtes dépourvues d'ambition.
I'm good at playing the piano.	Jouer du piano est mon point fort.
You aren't wrong.	T'as pas tort.
He isn't coming, either.	Il ne vient pas non plus.
You're very clever.	Vous êtes très ingénieuses.
He is selfish and greedy.	Il est égoïste et cupide.
I'm tired of dancing.	Je suis fatiguée de danser.
She is interested in music.	Elle s'intéresse à la musique.
I'm going to miss you, too.	Vous allez aussi me manquer.
I am going to be an engineer.	Je compte devenir ingénieur.
She's giving each child two apples.	Elle donne, à chaque enfant, deux pommes.
You're very sophisticated.	Vous êtes très raffinés.
He is angry with you.	Il est en colère après toi.
You're very good.	Tu es très bon.
I'm counting on it.	J'y compte.
He's hungry and thirsty.	Il a faim et soif.
He's no saint.	Ce n'est pas un saint.
You're right.	Tu as raison.
You are trusted by every one of us.	Tu as la confiance de tous.
You're not listening to me.	Tu ne m'écoutes pas.
You're unambitious.	Vous êtes dépourvus d'ambition.
He is more lucky than clever.	Il est plus chanceux qu'intelligent.
We're not alone.	Nous ne sommes pas seules.
I'm definitely impressed.	Je suis fort impressionnée.
I'm sorry if I disturbed you.	Je suis désolée si je vous ai dérangé.
I'm ready now, Tom.	Je suis maintenant prêt, Tom.
You're too stupid to live.	Vous êtes trop stupide pour vivre.
He's out of practice.	Il manque de pratique.
They're inside.	Ils sont à l'intérieur.
I'm getting used to it.	Je m'y habitue.
I'm your doctor.	Je suis votre médecin.
I'm not a cop.	Je ne suis pas flic.
I am loved by my mother.	Ma mère m'aime.
We're here alone.	Nous sommes ici seuls.
She seemed disappointed at the result.	Elle a semblé déçue par le résultat.
I'm as shocked as you are.	Je suis aussi choquée que vous.
You're not safe here.	Vous n'êtes pas en sécurité, ici.
You're too slow.	Vous êtes trop lent.
I'm pretty good at math.	Je suis plutôt bon en maths.
We are worried about you.	Nous sommes inquiets à votre sujet.
I am tired.	Je suis fatigué !
I'm not who you think I am.	Je ne suis pas celle que tu penses.
We're as good as dead now.	Nous sommes désormais pour ainsi dire mortes.
I'm proud of you guys.	Je suis fière de vous, les mecs.
I'm seriously considering moving to Boston.	Je pense sérieusement à déménager à Boston.
They're going to try.	Ils vont essayer.
I'm a little bit tired.	Je suis un peu fatigué.
You're all happy.	Vous êtes tous satisfaits.
You're in luck.	Vous êtes veinarde.
You're the one who planted that tree.	C'est vous qui avez planté cet arbre.
They're different.	Ils sont différents.
She saw him at the station.	Elle le vit à la gare.
They're in the shower.	Ils sont sous la douche.
He is very brave.	Il est fort courageux.
He is afraid of dogs.	Il a peur des chiens.
I'm going to teach you a lesson.	Je vais vous donner une leçon.
I'm not your husband anymore.	Je ne suis plus votre époux.
We're ready now.	Nous sommes maintenant prêts.
We're quite alone.	Nous sommes tout à fait seuls.
I'm happy you're here.	Je suis heureuse que vous soyez là.
I'm trying to talk to you.	Je tente de vous parler.
You're not fat.	Tu n'es pas grosse.
I'm glad you're still here.	Je suis content que tu sois toujours là.
I'm not driving anywhere.	Je ne vais nulle part avec ma voiture.
You are early.	Tu es matinale.
You're too drunk to drive.	Tu es trop ivre pour conduire.
You are responsible for what you do.	Tu es responsable de ce que tu fais.
You're a terrible dancer.	Vous êtes un horrible danseur.
You're a liar.	Tu es une menteuse.
She's smarter than him.	Elle est plus maligne que lui.
We're home.	Nous sommes chez nous.
I am looking forward to seeing you.	Je suis impatient de vous rencontrer.
We're just about finished for the day.	Nous avons presque fini pour aujourd'hui.
They're looking for you.	Ils te cherchent.
You're taller than I am.	Tu es plus grande que moi.
He is apparently responsible for it.	Il est responsable, semble-t-il.
He is always reading.	Il est toujours en train de lire.
I am doing my best.	Je fais de mon mieux.
We are all eager to know the truth.	Nous sommes tous avides de connaître la vérité.
They're going to torture Tom.	Elles vont torturer Tom.
He's fresh out of college.	Il est frais émoulu de l'école.
I'm your boss.	Je suis ton chef.
We're sneaky.	Nous sommes sournois.
We are studying Spanish.	Nous étudions l'espagnol.
I am afraid to go.	J'ai peur d'y aller.
You are too young to travel alone.	Vous êtes trop jeunes pour voyager seules.
I'm the boss around here.	C'est moi la patronne, par ici.
They're headed this way.	Elles se rendent dans cette direction.
I'm not ready.	Je ne suis pas prête.
She is a good swimmer.	C'est une bonne nageuse.
He is able to speak five languages.	Il peut parler cinq langues.
You're probably tired.	Tu es probablement fatiguée.
We're getting a lot of things done.	Nous faisons beaucoup de choses.
You're all the same.	Vous êtes toutes pareilles.
I'm not worried about Tom.	Je ne suis pas inquiet pour Tom.
I'm just a poor student.	Je ne suis qu'un pauvre étudiant.
She's open-minded.	Elle a l'esprit ouvert.
I'm not here.	Je ne suis pas là.
I'm running out of energy.	Je suis à court d'énergie.
I'm glad that makes you happy.	Je suis contente que ça vous rende heureux.
I'm not married anymore.	Je ne suis plus mariée.
I'm sure Tom was involved.	Je suis sûr que Tom a été impliqué.
She is friendly to everybody.	Elle est sympa avec tout le monde.
You're depressed, aren't you?	Vous êtes déprimés, n'est-ce pas ?
He isn't perfect.	Il n'est pas parfait.
He is drunk.	Il est soûl.
You're too tense.	Vous êtes trop tendu.
I'm coming over to your place.	Je passe te voir chez toi.
I am the chosen one.	Je suis l'élue.
We're quite alone.	Nous sommes assez seules.
I am curious.	Je suis curieux.
I'm eating now.	Je suis en train de manger.
I'm not who you think I am.	Je ne suis pas celui que vous pensez.
She is not very well off.	Elle n'est pas très riche.
I'm a little tired.	Je suis un peu fatigué.
She seems tired.	Elle a l'air fatigué.
I'm late, aren't I?	Je suis en retard, n'est-ce pas ?
She says that she's lonely.	Elle dit être esseulée.
We're still not sure.	Nous ne sommes pas encore sûrs.
I'm going to miss this place.	Cet endroit va me manquer.
I'm not thinking about it.	Je n'y pense pas.
He's looking good.	Il a l'air bien.
You're a very attractive woman.	Tu es une femme très attirante.
He isn't happy at all.	Il n'est pas du tout content.
I'm the boss.	Je suis la patronne.
We're in trouble.	On est dans le pétrin.
You're very lonely.	Vous êtes fort solitaire.
I'm glad that makes you happy.	Je suis contente que ça vous rende heureuse.
He's my hero.	C'est mon héros.
I'm delighted to meet you.	Je suis ravi de te rencontrer.
They're all against me.	Ils sont tous contre moi.
You're not making this easy.	Tu ne rends pas ça facile.
He's right behind you.	Il se trouve juste derrière toi.
He's not very good at it.	Il n'y est pas très bon.
I'm happy with it.	Je m'en contente.
I'm confident that you'll succeed.	Je suis sûr que tu vas réussir.
You're the girl of my dreams.	Tu es la fille de mes rêves.
She showed me his album.	Elle m'a montré son album.
I am very sensitive to the cold.	Je suis très sensible au froid.
You're not that interesting.	Vous n'êtes pas si intéressant.
She's too old for you.	Elle est trop âgée pour toi.
I'm not really hungry.	Je n'ai pas vraiment faim.
He's reading a novel right now.	Il est en train de lire un roman.
You're very upset.	Vous êtes fort contrariée.
I'm not entirely sure.	Je ne suis pas entièrement sûre.
He's not going.	Il ne s'en va pas.
You're foolish.	Vous êtes imprudente.
She's smart and beautiful.	Elle est belle et intelligente.
He is likely to win the game.	Il est probable qu'il gagne le jeu.
I'm used to working all night.	Je suis habituée à travailler toute la nuit.
He is always joking.	Il plaisante toujours.
He is old enough to drink.	Il est assez vieux pour boire.
I'm tired of waiting in line.	Je suis fatigué de faire la file.
You're the oldest.	Tu es la plus vieille.
I'm looking forward to that.	J'en suis impatiente.
I'm not particularly impressed.	Je ne suis pas particulièrement impressionné.
I'm lonely.	Je me sens seule.
He's about to leave.	Il est sur le point de partir.
She shook hands with him.	Elle lui a serré la main.
I'm not married yet.	Je ne suis pas encore marié.
I'm in luck.	Je suis veinarde.
She is always free in the afternoon.	Elle est toujours libre l'après-midi.
He's always complaining about the food.	Il se plaint toujours de la nourriture.
She's very beautiful.	Elle est très belle.
He is riding a bicycle.	Il est à vélo.
He is at home today.	Il est à la maison aujourd'hui.
He is Japanese.	Il est japonais.
You're very clever.	Tu es fort ingénieux.
I'm not good-looking.	Je ne suis pas belle.
You're very wise.	Vous êtes très sage.
You're cuter than Mary.	Tu es plus mignonne que Mary.
You're very wise.	Vous êtes très avisé.
You're funny.	Vous êtes marrant.
I am the tallest in our class.	Je suis le plus grand de notre classe.
I'm smarter than you.	Je suis plus vive que vous.
He is unfit to be a teacher.	Il n'est pas apte à être enseignant.
I'm really busy, Tom.	Je suis très occupée, Tom.
I'm not all that smart.	Je ne suis pas si malin.
He isn't alone anymore.	Il n'est plus seul.
They're right, of course.	Elles ont raison, bien sûr.
You're not safe here.	Tu n'es pas en sécurité, ici.
He is no longer welcome here.	Il n'est plus le bienvenu ici.
I'm sure Tom is suffering.	Je suis certaine que Tom souffre.
I am afraid of dogs.	J'ai peur des chiens.
They're not home yet.	Ils ne sont pas encore chez eux.
You're not my friend.	Tu n'es pas mon amie.
I'm not allowed to help you.	Je ne suis pas autorisée à t'aider.
I'm just not sure.	Je n'en suis simplement pas sûr.
You're lucky that you have a job.	Tu es chanceuse d'avoir un travail.
I am afraid that he might get hurt.	J'ai peur qu'il ne se blesse.
You're very rude.	Tu es très grossier.
We're going to be here all afternoon.	Nous allons être ici toute l'après-midi.
You are so stupid.	Tu es tellement idiot !
I'm not a doctor, but a teacher.	Je ne suis pas médecin, mais instituteur.
He's buying an old hat.	Il achète un vieux chapeau.
You're my only real friend.	Tu es mon seul véritable ami.
You're really a hard worker.	Tu es vraiment dur au travail.
You're acting like a small child.	Tu te comportes comme un petit enfant.
He is seeking a new position.	Il cherche actuellement un nouveau poste.
I'm really proud of you.	Je suis réellement fière de vous.
You aren't invited.	Vous n'êtes pas invitées.
I'm not sleepy.	Je ne suis pas endormi.
I'm not finished with you.	Je n'en ai pas fini avec toi.
You're very wise.	Vous êtes fort avisés.
You're the best.	Vous êtes le meilleur.
You're smarter than me.	Vous êtes plus intelligente que moi.
You're my kid's teacher.	Vous êtes le professeur de mon enfant.
She is a really good girl.	C'est vraiment une bonne fille.
You're very fortunate.	Tu as vraiment beaucoup de chance.
I'm really not busy.	Je ne suis vraiment pas occupée.
They're staying.	Elles restent.
I'm feeling kind of sleepy.	J'ai un peu sommeil.
He's a good liar.	Il est bon menteur.
We're powerless.	Nous sommes impuissants.
We're as good as dead now.	Nous sommes désormais pour ainsi dire morts.
I'm finished.	J'en ai terminé.
You are taller than she is.	Tu es plus grand qu'elle.
You are not at all wrong.	Vous n'avez pas tort du tout.
I'm not good at this.	Je ne suis pas bon à ça.
You're so beautiful in that dress.	Vous êtes si belle dans cette robe !
You're wonderful.	Vous êtes merveilleuse.
I'm very pleased with your work.	Je suis ravi de votre travail.
I am very interested in music.	Je suis très intéressé par la musique.
I'm looking forward to the party.	J'attends la fête avec impatience.
I'm not very confident.	Je n'ai pas trop confiance.
I'm ready for tomorrow.	Je suis prête pour demain.
I'm not naive.	Je ne suis pas naïve.
I'm as tall as he is.	Je suis aussi grand que lui.
You are entitled to your opinion.	Tu as droit à ton opinion.
